title,year,rt_critics,rt_users,metacritic_critics,metacritic_users,imdb,fandango_stars,imdb_votes,fandango_votes
Avengers: Age of Ultron,2015,74,86,66,7.1,7.8,5.0,271107,14846
Cinderella,2015,85,80,67,7.5,7.1,5.0,65709,12640
Ant-Man,2015,80,90,64,8.1,7.8,5.0,103660,12055
Do You Believe?,2015,18,84,22,4.7,5.4,5.0,3136,1793
Hot Tub Time Machine 2,2015,14,28,29,3.4,5.1,3.5,19560,1021
The Water Diviner,2015,63,62,50,6.8,7.2,4.5,39373,397
Irrational Man,2015,42,53,53,7.6,6.9,4.0,2680,252
Top Five,2014,86,64,81,6.8,6.5,4.0,16876,3223
Shaun the Sheep Movie,2015,99,82,81,8.8,7.4,4.5,12227,896
Love & Mercy,2015,89,87,80,8.5,7.8,4.5,5367,864
Far From The Madding Crowd,2015,84,77,71,7.5,7.2,4.5,12129,804
Black Sea,2015,82,60,62,6.6,6.4,4.0,16547,218
Leviathan,2014,99,79,92,7.2,7.7,4.0,22521,64
Unbroken,2014,51,70,59,6.5,7.2,4.5,77518,9443
The Imitation Game,2014,90,92,73,8.2,8.1,5.0,334164,8055
Taken 3,2015,9,46,26,4.6,6.1,4.5,104235,6757
Ted 2,2015,46,58,48,6.5,6.6,4.5,49102,6437
Southpaw,2015,59,80,57,8.2,7.8,5.0,23561,5597
Night at the Museum: Secret of the Tomb,2014,50,58,47,5.8,6.3,4.5,50291,5445
Pixels,2015,17,54,27,5.3,5.6,4.5,19521,3886
"McFarland, USA",2015,79,89,60,7.2,7.5,5.0,13769,3364
Insidious: Chapter 3,2015,59,56,52,6.9,6.3,4.5,25134,3276
The Man From U.N.C.L.E.,2015,68,80,55,7.9,7.6,4.5,22104,2686
Run All Night,2015,60,59,59,7.3,6.6,4.5,50438,2066
Trainwreck,2015,85,74,75,6.0,6.7,4.5,27380,8381
Selma,2014,99,86,89,7.1,7.5,5.0,45344,7025
Ex Machina,2015,92,86,78,7.9,7.7,4.5,154499,3458
Still Alice,2015,88,85,72,7.8,7.5,4.5,57123,1258
Wild Tales,2014,96,92,77,8.8,8.2,4.5,50285,235
The End of the Tour,2015,92,89,84,7.5,7.9,4.5,1320,121
Red Army,2015,96,86,82,7.4,7.7,4.5,2275,54
When Marnie Was There,2015,89,89,71,6.4,7.8,4.5,4160,46
The Hunting Ground,2015,92,72,77,7.8,7.5,4.5,1196,42
The Boy Next Door,2015,10,35,30,5.5,4.6,4.0,19658,2800
Aloha,2015,19,31,40,4.0,5.5,3.5,12255,2284
The Loft,2015,11,40,24,2.4,6.3,4.0,21319,811
5 Flights Up,2015,52,47,55,6.8,6.1,4.0,2174,79
Welcome to Me,2015,71,47,67,6.9,5.9,4.0,8301,56
Saint Laurent,2015,51,45,52,6.8,6.3,3.5,2196,43
Maps to the Stars,2015,60,46,67,5.8,6.3,3.5,22440,35
I'll See You In My Dreams,2015,94,70,75,6.9,6.9,4.0,1151,281
Timbuktu,2015,99,78,91,6.9,7.2,4.0,6246,74
About Elly,2015,97,86,87,9.6,8.2,4.0,20659,43
The Diary of a Teenage Girl,2015,95,81,87,6.3,7.0,4.0,1107,38
Kingsman: The Secret Service,2015,75,84,58,7.9,7.8,4.5,272204,15205
Tomorrowland,2015,50,53,60,6.4,6.6,4.0,42937,8077
The Divergent Series: Insurgent,2015,30,61,42,5.4,6.4,4.5,89618,7123
Annie,2014,27,61,33,4.8,5.2,4.5,19222,6835
Fantastic Four,2015,9,20,27,2.5,4.0,3.0,39838,6288
Terminator Genisys,2015,26,60,38,6.4,6.9,4.5,85585,6272
Pitch Perfect 2,2015,67,68,63,5.7,6.7,4.5,56333,4577
Entourage,2015,32,68,38,5.2,7.1,4.5,21914,4279
The Age of Adaline,2015,54,68,51,7.4,7.3,4.5,45510,3325
Hot Pursuit,2015,8,37,31,3.7,4.9,4.0,17061,2618
The DUFF,2015,71,68,56,6.4,6.6,4.5,33594,2273
Black or White,2015,39,68,45,7.9,6.6,4.5,4857,1862
Project Almanac,2015,34,46,47,5.4,6.4,4.0,40057,1834
Ricki and the Flash,2015,64,53,54,7.0,6.2,4.0,1769,1462
Seventh Son,2015,12,35,30,3.9,5.5,3.5,41177,1213
Mortdecai,2015,12,30,27,3.2,5.5,3.5,31878,1196
Unfinished Business,2015,11,27,32,3.8,5.4,3.5,14346,821
American Ultra,2015,46,52,50,6.8,6.5,4.0,3017,638
True Story,2015,45,41,50,5.7,6.3,3.5,16069,540
Child 44,2015,26,44,41,5.3,6.4,4.0,19220,308
Dark Places,2015,26,33,39,7.9,6.3,4.0,9856,55
Birdman,2014,92,78,88,8.0,7.9,4.0,303505,4194
The Gift,2015,93,79,77,8.3,7.6,4.0,10891,2680
Unfriended,2015,60,39,59,5.8,5.9,3.0,22348,2507
Monkey Kingdom,2015,94,77,72,7.5,7.3,4.5,883,701
Mr. Turner,2014,98,56,94,6.6,6.9,3.5,13296,290
Seymour: An Introduction,2015,100,87,83,6.0,7.7,4.5,243,41
The Wrecking Crew,2015,93,84,67,7.0,7.8,4.5,732,38
American Sniper,2015,72,85,72,6.6,7.4,5.0,251856,34085
Furious 7,2015,81,84,67,6.8,7.4,5.0,207211,33538
The Hobbit: The Battle of the Five Armies,2014,61,75,59,7.0,7.5,4.5,289464,15337
San Andreas,2015,50,58,43,5.5,6.5,4.5,45723,9749
Straight Outta Compton,2015,90,94,72,7.3,8.4,5.0,15982,8096
Vacation,2015,27,55,34,6.2,6.3,4.0,8179,3815
Chappie,2015,30,57,41,7.4,7.0,4.0,125088,3642
Poltergeist,2015,31,24,47,3.7,5.0,3.0,21372,2704
Paper Towns,2015,55,57,56,6.2,6.9,4.0,14156,1750
Big Eyes,2014,72,69,62,7.5,7.0,4.0,39152,1501
Blackhat,2015,34,25,51,5.4,5.4,3.0,27328,1430
Self/less,2015,20,51,34,8.4,6.6,4.0,5626,1415
Sinister 2,2015,13,34,31,5.0,5.5,3.5,3200,973
Little Boy,2015,20,81,30,5.9,7.4,4.5,5927,811
Me and Earl and The Dying Girl,2015,81,89,74,8.4,8.2,4.5,5269,624
Maggie,2015,54,32,52,6.5,5.6,3.5,18986,95
Mad Max: Fury Road,2015,97,88,89,8.7,8.3,4.5,292023,10509
Spy,2015,93,82,75,6.3,7.3,4.5,66636,9418
The SpongeBob Movie: Sponge Out of Water,2015,78,55,62,6.5,6.1,3.5,26046,4493
Paddington,2015,98,81,77,8.2,7.2,4.5,38593,4045
Dope,2015,87,86,72,7.2,7.5,4.5,4911,2195
What We Do in the Shadows,2015,96,86,75,8.3,7.6,4.5,39561,259
The Overnight,2015,82,65,65,8.6,6.9,3.5,867,110
The Salt of the Earth,2015,96,90,83,7.8,8.4,4.5,6605,83
Song of the Sea,2014,99,92,86,8.2,8.2,4.5,14067,66
Fifty Shades of Grey,2015,25,42,46,3.2,4.2,4.0,179506,34846
Get Hard,2015,29,48,34,3.8,6.1,4.0,50022,5933
Focus,2015,57,54,56,6.2,6.6,4.0,101264,4933
Jupiter Ascending,2015,26,40,40,4.5,5.5,3.5,105412,4122
The Gallows,2015,16,27,30,7.0,4.4,3.0,5511,1896
The Second Best Exotic Marigold Hotel,2015,62,63,51,6.1,6.6,4.0,12940,1870
Strange Magic,2015,17,50,25,5.3,5.7,3.5,3658,1117
The Gunman,2015,17,34,39,4.3,5.8,3.5,16663,996
Hitman: Agent 47,2015,7,49,28,3.3,5.9,4.0,4260,917
Cake,2015,49,47,49,6.4,6.5,3.5,19627,482
The Vatican Tapes,2015,13,21,37,5.4,4.6,3.0,952,210
A Little Chaos,2015,40,47,51,7.0,6.4,4.0,4778,83
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,2015,67,69,58,4.6,7.1,4.0,17237,63
Escobar: Paradise Lost,2015,52,52,56,6.9,6.6,4.0,7819,48
Into the Woods,2014,71,50,69,6.1,6.0,3.5,81679,13055
It Follows,2015,96,65,83,7.5,6.9,3.0,64656,2097
Inherent Vice,2014,73,52,81,7.4,6.7,3.0,44711,1078
A Most Violent Year,2014,90,69,79,7.0,7.1,3.5,32166,675
While We're Young,2015,83,52,76,6.7,6.4,3.0,17647,449
Clouds of Sils Maria,2015,89,67,78,7.1,6.8,3.5,11392,162
Testament of Youth,2015,81,79,77,7.9,7.3,4.0,5495,127
Infinitely Polar Bear,2015,80,76,64,7.9,7.2,4.0,1062,124
Phoenix,2015,99,81,91,8.0,7.2,3.5,3687,70
The Wolfpack,2015,84,73,75,7.0,7.1,3.5,1488,66
The Stanford Prison Experiment,2015,84,87,68,8.5,7.1,4.0,950,51
Tangerine,2015,95,86,86,7.3,7.4,4.0,696,36
Magic Mike XXL,2015,62,64,60,5.4,6.3,4.5,11937,9363
Home,2015,45,65,55,7.3,6.7,4.5,41158,7705
The Wedding Ringer,2015,27,66,35,3.3,6.7,4.5,37292,6506
Woman in Gold,2015,52,81,51,7.2,7.4,4.5,17957,2435
The Last Five Years,2015,60,60,60,6.9,6.0,4.5,4110,99
Mission: Impossible â€“ Rogue Nation,2015,92,90,75,8.0,7.8,4.5,82579,8357
Amy,2015,97,91,85,8.8,8.0,4.5,5630,729
Jurassic World,2015,71,81,59,7.0,7.3,4.5,241807,34390
Minions,2015,54,52,56,5.7,6.7,4.0,55895,14998
Max,2015,35,73,47,5.9,7.0,4.5,5444,3412
Paul Blart: Mall Cop 2,2015,5,36,13,2.4,4.3,3.5,15004,3054
The Longest Ride,2015,31,73,33,4.8,7.2,4.5,25214,2603
The Lazarus Effect,2015,14,23,31,4.9,5.2,3.0,17691,1651
The Woman In Black 2 Angel of Death,2015,22,25,42,4.4,4.9,3.0,14873,1333
Danny Collins,2015,77,75,58,7.1,7.1,4.0,11206,531
Spare Parts,2015,52,83,50,7.1,7.2,4.5,47377,450
Serena,2015,18,25,36,5.3,5.4,3.0,12165,50
Inside Out,2015,98,90,94,8.9,8.6,4.5,96252,15749
Mr. Holmes,2015,87,78,67,7.9,7.4,4.0,7367,1348
'71,2015,97,82,83,7.5,7.2,3.5,24116,192
"Two Days, One Night",2014,97,78,89,8.8,7.4,3.5,24345,118
Gett: The Trial of Viviane Amsalem,2015,100,81,90,7.3,7.8,3.5,1955,59
"Kumiko, The Treasure Hunter",2015,87,63,68,6.4,6.7,3.5,5289,41
